doi	posted_date	covid_preprint
10.1101/2020.04.05.20048421	4/7/2020	TRUE
10.1101/2020.04.05.20053819	4/7/2020	TRUE
10.1101/2020.04.06.20052522	4/8/2020	TRUE
10.1101/2020.04.06.20055624	4/11/2020	TRUE
10.1101/2020.04.06.20055863	4/11/2020	TRUE
10.1101/2020.04.07.029132	4/11/2020	TRUE
10.1101/2020.04.07.20045617	4/10/2020	TRUE
10.1101/2020.04.07.20052340	4/10/2020	TRUE
10.1101/2020.04.07.20056234	4/11/2020	TRUE
10.1101/2020.04.07.20056424	4/11/2020	TRUE
10.1101/2020.04.08.032763	4/9/2020	TRUE
10.1101/2020.04.08.20057794	4/11/2020	TRUE
10.1101/2020.04.09.034462	4/12/2020	TRUE
10.1101/2020.04.09.20057901	4/11/2020	TRUE
10.1101/2020.04.09.20059857	4/14/2020	TRUE
10.1101/2020.04.09.20060129	4/14/2020	TRUE
10.1101/2020.04.10.20061176	4/14/2020	TRUE
10.1101/2020.04.13.20063198	4/17/2020	TRUE
10.1101/2020.04.13.20064352	4/17/2020	TRUE
10.1101/2020.04.13.20064378	4/19/2020	TRUE
10.1101/2020.04.13.20064402	4/17/2020	TRUE
10.1101/2020.04.14.041228	4/15/2020	TRUE
10.1101/2020.04.14.20064733	4/17/2020	TRUE
10.1101/2020.04.15.20065995	4/18/2020	TRUE
10.1101/2020.04.15.20066480	4/18/2020	TRUE
10.1101/2020.04.15.20066811	4/18/2020	TRUE
10.1101/2020.04.16.043273	4/18/2020	TRUE
10.1101/2020.04.17.20060251	4/21/2020	TRUE
10.1101/2020.04.17.20069716	4/22/2020	TRUE
10.1101/2020.04.20.051219	4/20/2020	TRUE
10.1101/2020.04.20.20072223	4/24/2020	TRUE
10.1101/2020.04.20.20072272	4/24/2020	TRUE
10.1101/2020.04.20.20072413	4/24/2020	TRUE
10.1101/2020.04.21.042911	4/22/2020	TRUE
10.1101/2020.04.22.056747	4/24/2020	TRUE
10.1101/2020.04.22.20074914	4/25/2020	TRUE
10.1101/2020.04.22.20074948	4/27/2020	TRUE
10.1101/2020.04.22.20075200	4/25/2020	TRUE
10.1101/2020.04.22.20075564	4/27/2020	TRUE
10.1101/2020.04.22.20075598	4/25/2020	TRUE
10.1101/2020.04.22.20075663	4/27/2020	TRUE
10.1101/2020.04.23.20076455	4/25/2020	TRUE
10.1101/2020.04.23.20077644	4/29/2020	TRUE
10.1101/2020.04.24.060376	4/24/2020	TRUE
10.1101/2020.04.24.20073296	4/30/2020	TRUE
10.1101/2020.04.24.20074559	4/27/2020	TRUE
10.1101/2020.04.24.20078154	4/29/2020	TRUE
10.1101/2020.04.24.20078204	4/29/2020	TRUE
10.1101/2020.04.25.20079830	4/29/2020	TRUE
10.1101/2020.04.29.069476	4/30/2020	TRUE
10.1101/2020.01.28.20019281	1/30/2020	FALSE
10.1101/2020.01.22.20018440	1/27/2020	FALSE
10.1101/2020.02.28.20026260	3/3/2020	FALSE
10.1101/2020.01.03.20016444	1/6/2020	FALSE
10.1101/2020.02.19.20025130	2/23/2020	FALSE
10.1101/2020.04.10.20060871	4/15/2020	FALSE
10.1101/2020.03.17.20037457	3/20/2020	FALSE
10.1101/2020.04.23.20076844	4/26/2020	FALSE
10.1101/2020.02.20.20019588	2/23/2020	FALSE
10.1101/2020.01.16.20017707	1/18/2020	FALSE
10.1101/2020.02.20.20025684	2/23/2020	FALSE
10.1101/2020.03.15.20036566	3/20/2020	FALSE
10.1101/2020.01.22.20017392	1/27/2020	FALSE
10.1101/2020.01.22.20018457	1/24/2020	FALSE
10.1101/2020.02.27.20028647	2/29/2020	FALSE
10.1101/2020.04.08.20058446	4/14/2020	FALSE
10.1101/2020.04.03.20051896	4/6/2020	FALSE
10.1101/2020.04.09.20054031	4/14/2020	FALSE
10.1101/2020.03.03.20029447	3/6/2020	FALSE
10.1101/2020.02.03.20019786	2/4/2020	FALSE
10.1101/2020.03.16.20037291	3/20/2020	FALSE
10.1101/2020.01.31.20019570	2/3/2020	FALSE
10.1101/2020.04.16.20055608	4/22/2020	FALSE
10.1101/2020.02.20.20025858	2/23/2020	FALSE
10.1101/2020.01.20.20016766	1/23/2020	FALSE
10.1101/2020.04.13.20063404	4/17/2020	FALSE
10.1101/2020.04.09.20047464	4/14/2020	FALSE
10.1101/2020.01.30.20018432	2/3/2020	FALSE
10.1101/2020.04.10.20055301	4/14/2020	FALSE
10.1101/2020.01.07.20016881	1/10/2020	FALSE
10.1101/2020.03.06.20030734	3/8/2020	FALSE
10.1101/2020.03.29.20046904	4/1/2020	FALSE
10.1101/2020.04.14.20064717	4/19/2020	FALSE
10.1101/2020.03.02.20030056	3/6/2020	FALSE
10.1101/2020.03.29.20039693	3/30/2020	FALSE
10.1101/2020.01.20.19015404	1/23/2020	FALSE
10.1101/2020.01.02.20016311	1/3/2020	FALSE
10.1101/2020.01.22.20018374	1/27/2020	FALSE
10.1101/2020.01.15.20017533	1/18/2020	FALSE
10.1101/2019.12.29.19016097	1/2/2020	FALSE
10.1101/2020.02.06.20020859	2/7/2020	FALSE
10.1101/2020.03.09.20033043	3/12/2020	FALSE
10.1101/2020.01.21.914648	1/23/2020	FALSE
10.1101/2020.01.17.911057	1/18/2020	FALSE
10.1101/2020.02.08.939066	2/9/2020	FALSE
10.1101/2020.01.06.894147	1/6/2020	FALSE
10.1101/2020.01.31.928663	1/31/2020	FALSE
10.1101/2020.02.03.930354	2/3/2020	FALSE
10.1101/2020.03.10.984948	3/11/2020	FALSE
10.1101/2020.01.24.919142	1/25/2020	FALSE
10.1101/2020.02.07.938589	2/7/2020	FALSE
10.1101/2020.01.13.903906	1/14/2020	FALSE
10.1101/2020.02.14.949297	2/15/2020	FALSE
10.1101/2020.03.18.996603	3/20/2020	FALSE
10.1101/2020.01.20.912386	1/20/2020	FALSE
10.1101/2020.01.27.921395	2/5/2020	FALSE
10.1101/2020.03.02.973065	3/3/2020	FALSE
10.1101/2020.02.18.954958	2/19/2020	FALSE
10.1101/2020.01.14.906370	1/15/2020	FALSE
10.1101/2020.01.24.917153	1/25/2020	FALSE
10.1101/2020.01.24.917419	1/25/2020	FALSE
10.1101/2020.02.19.957092	2/20/2020	FALSE
10.1101/2020.02.06.936633	2/7/2020	FALSE
10.1101/2020.02.21.960328	2/22/2020	FALSE
10.1101/2020.02.06.936658	2/7/2020	FALSE
10.1101/2020.02.27.968636	2/28/2020	FALSE
10.1101/2020.01.28.922500	1/28/2020	FALSE
10.1101/2020.01.13.902841	1/13/2020	FALSE
10.1101/2020.03.01.971986	3/3/2020	FALSE
10.1101/2020.03.17.989434	3/18/2020	FALSE
10.1101/2020.02.06.937821	2/7/2020	FALSE
10.1101/2020.01.19.911917	1/20/2020	FALSE
10.1101/2020.01.31.929455	2/1/2020	FALSE
10.1101/2020.03.23.004275	3/24/2020	FALSE
10.1101/2020.01.23.916536	1/23/2020	FALSE
10.1101/2020.03.26.009217	3/29/2020	FALSE
10.1101/2020.02.19.952960	2/19/2020	FALSE
10.1101/2020.03.16.994400	3/18/2020	FALSE
10.1101/2020.01.13.904219	1/14/2020	FALSE
10.1101/2020.02.13.947291	2/13/2020	FALSE
10.1101/2020.03.27.012963	3/29/2020	FALSE
10.1101/2020.01.09.900050	1/11/2020	FALSE
10.1101/2020.01.22.914192	1/23/2020	FALSE
10.1101/2020.03.11.987685	3/12/2020	FALSE
10.1101/2020.02.29.970913	3/3/2020	FALSE
10.1101/2020.03.05.979765	3/6/2020	FALSE
10.1101/2020.02.11.923565	2/12/2020	FALSE
10.1101/2020.01.31.928192	2/1/2020	FALSE
10.1101/2020.02.28.970426	2/28/2020	FALSE
10.1101/2020.03.12.989541	3/13/2020	FALSE
10.1101/2020.01.14.905893	1/14/2020	FALSE
10.1101/2020.01.21.906156	1/21/2020	FALSE
10.1101/2020.01.21.914804	1/23/2020	FALSE
10.1101/2020.01.14.904409	1/14/2020	FALSE
10.1101/2020.01.15.907782	1/16/2020	FALSE
10.1101/2020.04.27.064063	4/28/2020	FALSE
10.1101/2020.02.08.940122	2/9/2020	FALSE
10.1101/2020.01.16.908319	1/17/2020	FALSE
10.1101/2020.01.08.899773	1/9/2020	FALSE
10.1101/2020.01.15.907501	1/15/2020	FALSE
10.1101/2020.02.09.940403	2/10/2020	FALSE
10.1101/2020.01.14.905935	1/15/2020	FALSE
10.1101/2020.01.29.925081	1/31/2020	FALSE
10.1101/2020.02.13.947119	2/13/2020	FALSE
10.1101/2020.03.22.002311	3/24/2020	FALSE
10.1101/2020.02.14.949891	2/14/2020	FALSE
10.1101/2020.01.28.922658	1/28/2020	FALSE
10.1101/2020.01.22.916171	1/23/2020	FALSE
10.1101/2020.01.28.923631	1/29/2020	FALSE
10.1101/2020.01.28.922625	1/28/2020	FALSE
10.1101/2020.01.15.908301	1/16/2020	FALSE
10.1101/2020.02.17.919845	2/17/2020	FALSE
10.1101/2020.01.26.917476	1/27/2020	FALSE
10.1101/2020.01.21.914259	1/23/2020	FALSE
10.1101/2020.04.08.031732	4/10/2020	FALSE
10.1101/2020.03.20.000455	3/22/2020	FALSE
10.1101/2020.02.13.948091	2/13/2020	FALSE
10.1101/2020.02.10.942490	2/11/2020	FALSE
10.1101/2020.03.05.978825	3/6/2020	FALSE
10.1101/2020.02.24.962803	2/25/2020	FALSE
10.1101/2020.03.02.974006	3/4/2020	FALSE
10.1101/2020.01.07.896910	1/8/2020	FALSE
10.1101/2020.01.28.923201	1/28/2020	FALSE
10.1101/2020.02.07.938530	2/7/2020	FALSE
10.1101/2020.03.12.981357	3/12/2020	FALSE
10.1101/2020.03.20.001099	3/21/2020	FALSE
10.1101/2020.01.03.893875	1/3/2020	FALSE
10.1101/2020.02.05.936054	2/6/2020	FALSE
10.1101/2020.02.18.954925	2/18/2020	FALSE
