doi,author_list,abstract_change,change_outcomes,preprint_main_total,paper_main_total,panel_change,ave_figs_preprint,ave_figs_paper,ave_figs_change,source_data,peer_review,comments_count,twitter,blogs,news,citations,impact,X1,source,posted_date,covid_preprint,title,n_versions,n_words,n_refs,n_figs,n_tables,license,type,category,authors,n_authors,author_corresponding,author_corresponding_institution,institution_match_score,institution_match_type,institution_match_name,institution_match_country_name,institution_match_country_code,published_doi.x,published_title,published_date,published_journal,published_publisher,delay_in_days,published_article_is_oa,published_article_oa_status,published_journal_is_oa
10.1101/2020.02.17.952903,0,1,2,9,11,2,3,3.666666667,0.666666667,-1,0,1,17,0,1,1,53.254,34725,biorxiv,21/02/2020,TRUE,Molecular mechanism of evolution and human infection with the novel coronavirus (2019-nCoV),1,3303,36,2,3,cc_by_nc,new results,microbiology,"He, J.; Tao, H.; Yan, Y.; Huang, S.-Y.; Xiao, Y.",5,Sheng-You Huang,"Institute of Biophysics, School of Physics, Huazhong University of Science and Technology",1,PHRASE,Huazhong University of Science and Technology,China,CN,10.3390/v12040428,Molecular Mechanism of Evolution and Human Infection with SARS-CoV-2,13/04/2020,Viruses,MDPI AG,52,TRUE,gold,TRUE
10.1101/2020.02.18.20021881,0,0,0,1,1,0,NA,NA,0,-1,0,0,108,0,1,1,3.354,63219,medrxiv,19/02/2020,TRUE,Association between 2019-nCoV transmission and N95 respirator use,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Wang, X.; Pan, Z.; Cheng, Z.",3,Xinghuan Wang,"Department of Urology, Zhongnan Hospital of Wuhan University, Wuhan, China",1,PHRASE,Zhongnan Hospital of Wuhan University,China,CN,10.1016/j.jhin.2020.02.021,Association between 2019-nCoV transmission and N95 respirator use,03/03/2020,Journal of Hospital Infection,Elsevier BV,13,TRUE,bronze,FALSE
10.1101/2020.02.19.20025452,0,-1,0,3,3,0,2,3,1,NA,0,0,120,1,9,10,7.422,63354,medrxiv,23/02/2020,TRUE,The serial interval of COVID-19 from publicly reported confirmed cases,4,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Du, Z.; Wang, L.; Xu, X.; Wu, Y.; Cowling, B. J.; Meyers, L. A.",6,Lauren Ancel Meyers,The University of Texas at Austin,1,PHRASE,The University of Texas at Austin,United States,US,10.3201/eid2606.200357,Serial Interval of COVID-19 among Publicly Reported Confirmed Cases,19/03/2020,Emerging Infectious Diseases,Centers for Disease Control and Prevention (CDC),25,TRUE,gold,TRUE
10.1101/2020.02.19.956581,0,1,1,21,21,0,3.6,4.2,0.6,1,0,5,187,0,4,12,31.398,34590,biorxiv,20/02/2020,TRUE,"Structure, function and antigenicity of the SARS-CoV-2 spike glycoprotein",1,6231,93,5,3,cc_by_nc_nd,new results,biochemistry,"Walls, A. C.; Park, Y.-J.; Tortorici, M. A.; Wall, A.; McGuire, A. T.; Veesler, D.",6,David Veesler,University of Washington,1,PHRASE,University of Washington,United States,US,10.1016/j.cell.2020.02.058,"Structure, Function, and Antigenicity of the SARS-CoV-2 Spike Glycoprotein",09/03/2020,Cell,Elsevier BV,18,TRUE,bronze,FALSE
10.1101/2020.02.20.20025619,0,0,0,2,2,0,1,1,0,-1,0,1,222,0,1,4,3.085,63292,medrxiv,23/02/2020,TRUE,"Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened among Close Contacts in Nanjing, China",2,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Hu, Z.; Song, C.; Xu, C.; Jin, G.; Chen, Y.; Xu, X.; Ma, H.; Chen, W.; Lin, Y.; Zheng, Y.; Wang, J.; hu, z.; Yi, Y.; Shen, H.",14,zhibin hu,Nanjing Medical University,1,PHRASE,Nanjing Medical University,China,CN,10.1007/s11427-020-1661-4,"Clinical characteristics of 24 asymptomatic infections with COVID-19 screened among close contacts in Nanjing, China",07/03/2020,Science China Life Sciences,Springer Science and Business Media LLC,13,TRUE,bronze,FALSE
10.1101/2020.02.20.20025866,0,2,0,2,2,0,1,2,1,-1,0,0,389,1,2,9,7.127,63321,medrxiv,23/02/2020,TRUE,"Estimating the Asymptomatic Ratio of 2019 Novel Coronavirus onboard the Princess Cruises Ship, 2020",2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Mizumoto, K.; Kagaya, K.; Zarebski, A.; Chowell, G.",4,Kenji Mizumoto,Kyoto University,1,PHRASE,Kyoto University,Japan,JP,10.2807/1560-7917.es.2020.25.10.2000180,"Estimating the asymptomatic proportion of coronavirus disease 2019 (COVID-19) cases on board the Diamond Princess cruise ship, Yokohama, Japan, 2020",12/03/2020,Eurosurveillance,European Centre for Disease Control and Prevention (ECDC),18,TRUE,gold,TRUE
10.1101/2020.02.21.20026187,3,0,0,3,3,0,1,3,2,0,0,0,52,0,1,2,3.556,63358,medrxiv,23/02/2020,TRUE,Comparison of throat swabs and sputum specimens for viral nucleic acid detection in 52 cases of novel coronavirus (SARS-Cov-2) infected pneumonia (COVID-19),1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,epidemiology,"Lin, C.; Xiang, J.; Yan, M.; Li, H.; Huang, S.; Shen, C.",6,Changxin Shen,"Department of Blood Transfusion, ZhongNan hospital of Wuhan University, China",1,PHRASE,Zhongnan Hospital of Wuhan University,China,CN,10.1515/cclm-2020-0187,Comparison of throat swabs and sputum specimens for viral nucleic acid detection in 52 cases of novel coronavirus (SARS-Cov-2)-infected pneumonia (COVID-19),17/04/2020,Clinical Chemistry and Laboratory Medicine (CCLM),Walter de Gruyter GmbH,54,TRUE,bronze,FALSE
10.1101/2020.02.22.20024927,0,0,1,17,18,1,3.25,4.5,1.25,-1,0,0,2,0,0,1,2.766,63318,medrxiv,23/02/2020,TRUE,"Association of radiologic findings with mortality of patients infected with 2019 novel coronavirus in Wuhan, China",1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Yuan, M.; Yin, W.; Tao, Z.; Tan, W.; Hu, Y.",5,Yi Hu,Wuhan central hospital,NA,NA,NA,NA,NA,10.1371/journal.pone.0230548,"Association of radiologic findings with mortality of patients infected with 2019 novel coronavirus in Wuhan, China",19/03/2020,PLOS ONE,Public Library of Science (PLoS),25,TRUE,gold,TRUE
10.1101/2020.02.23.20026856,0,0,0,14,14,0,5,7,2,-1,0,0,4,0,0,1,3.204,63309,medrxiv,25/02/2020,TRUE,"Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series",2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Qian, G.-Q.; Yang, N.-B.; Ding, F.; Ma, A. H. Y.; Wang, Z.-Y.; Shen, Y.-F.; Shi, C.-W.; Lian, X.; Chu, J.-G.; Chen, L.; Wang, Z.-Y.; Ren, D.-W.; Li, G.-X.; Chen, X.-Q.; Shen, H.-J.; Chen, X.-M.",16,Xiao-Min Chen,Ningbo City First Hospital,NA,NA,NA,NA,NA,10.1093/qjmed/hcaa089,"Epidemiologic and clinical characteristics of 91 hospitalized patients with COVID-19 in Zhejiang, China: a retrospective, multi-centre case series",14/03/2020,QJM: An International Journal of Medicine,Oxford University Press (OUP),18,TRUE,hybrid,FALSE
10.1101/2020.02.24.20027649,0,0,0,10,10,0,2.333333333,3.333333333,1,NA,0,0,8,0,0,1,5.449,63412,medrxiv,27/02/2020,TRUE,"Transmission potential of the New Corona (COVID-19) onboard the Princess Cruises Ship, 2020",2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Mizumoto, K.; Chowell, G.",2,Kenji Mizumoto,Kyoto University,1,PHRASE,Kyoto University,Japan,JP,10.1016/j.idm.2020.02.003,"Transmission potential of the novel coronavirus (COVID-19) onboard the diamond Princess Cruises Ship, 2020",29/02/2020,Infectious Disease Modelling,Elsevier BV,2,TRUE,gold,TRUE
10.1101/2020.02.26.20026971,1,2,4,7,4,-3,2,NA,-2,-1,0,0,9,0,1,7,7.683,63421,medrxiv,27/02/2020,TRUE,Clinical Features of COVID-19 Related Liver Damage,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,gastroenterology,"Fan, Z.; Chen, L.; Li, J.; Tian, C.; Zhang, Y.; Huang, S.; Liu, Z.; Cheng, J.",8,Jilin Cheng,"Shanghai Public Health Clinical Center, Fudan University",1,PHRASE,Fudan University,China,CN,10.1016/j.cgh.2020.04.002,Clinical Features of COVID-19-Related Liver Functional Abnormality,11/04/2020,Clinical Gastroenterology and Hepatology,Elsevier BV,44,TRUE,bronze,FALSE
10.1101/2020.02.26.20028308,0,0,0,6,6,0,1,1.5,0.5,-1,1,0,6,0,0,1,2.766,63396,medrxiv,27/02/2020,TRUE,Perceptions of the Adult US Population regarding the Novel Coronavirus Outbreak,1,NA,NA,NA,NA,cc_by_nc,PUBLISHAHEADOFPRINT,infectious diseases,"McFadden, S. M.; Malik, A. A.; Aguolu, O. G.; Willebrand, K. S.; Omer, S. B.",5,Saad B Omer,Yale Institute for Global Health,NA,NA,NA,NA,NA,10.1371/journal.pone.0231808,Perceptions of the adult US population regarding the novel coronavirus outbreak,17/04/2020,PLOS ONE,Public Library of Science (PLoS),50,TRUE,gold,TRUE
10.1101/2020.02.26.964882,1,1,2,19,15,-4,4.75,3.75,-1,1,0,2,89,1,1,18,41.577,35261,biorxiv,27/02/2020,TRUE,"Structure-based drug design, virtual screening and high-throughput screening rapidly identify antiviral leads targeting COVID-19",3,3616,45,9,2,cc_no,new results,biochemistry,"Jin, Z.; Du, X.; Xu, Y.; Deng, Y.; Liu, M.; Zhao, Y.; Zhang, B.; Li, X.; Zhang, L.; Duan, Y.; Yu, J.; Wang, L.; Yang, K.; Liu, F.; You, T.; Liu, X.; Yang, X.; Bai, F.; Liu, H.; Liu, X.; Guddat, L. W.; Xiao, G.; Qin, C.; Shi, Z.; Jiang, H.; Rao, Z.; Yang, H.",27,Haitao Yang,"Shanghai Institute for Advanced Immunochemical Studies and School of Life Science and Technology, ShanghaiTech University, Shanghai, China",1,PHRASE,ShanghaiTech University,China,CN,10.1038/s41586-020-2223-y,Structure of Mpro from SARS-CoV-2 and discovery of its inhibitors,09/04/2020,Nature,Springer Science and Business Media LLC,42,TRUE,bronze,FALSE
10.1101/2020.02.27.20028639,0,1,0,16,16,0,4.666666667,5.333333333,0.666666666,0,0,0,30,0,0,2,NA,63437,medrxiv,29/02/2020,TRUE,Modeling the Epidemic Dynamics and Control of COVID-19 Outbreak in China,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Zhao, S.; Chen, H.",2,Hua Chen,"Beijing Institute of Genomics, Chinese Academy of Sciences",1,PHRASE,Chinese Academy of Sciences,China,CN,10.1007/s40484-020-0199-0,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,11/03/2020,Quantitative Biology,Springer Science and Business Media LLC,11,TRUE,bronze,FALSE
10.1101/2020.02.27.20028829,0,1,2,4,6,2,1,2,1,0,0,0,9,0,0,4,3.202,63438,medrxiv,29/02/2020,TRUE,Transmission potential of COVID-19 in South Korea,2,NA,NA,NA,NA,cc_by_nc,PUBLISHAHEADOFPRINT,epidemiology,"Shim, E.; Tariq, A.; Choi, W.; Lee, Y.; Chowell, G.",5,Eunha Shim,Soongsil University,1,PHRASE,Soongsil University,South Korea,KR,10.1016/j.ijid.2020.03.031,Transmission potential and severity of COVID-19 in South Korea,18/03/2020,International Journal of Infectious Diseases,Elsevier BV,18,TRUE,gold,TRUE
10.1101/2020.02.27.967760,1,0,0,12,12,0,4,4,0,-1,0,0,16,0,1,1,2.766,35268,biorxiv,27/02/2020,TRUE,The ACE2 expression of maternal-fetal interface and fetal organs indicates potential risk of vertical transmission of SARS-COV-2,3,2260,29,3,0,cc_by,new results,genomics,"Li, M.; Chen, L.; Xiong, C.; Li, X.",4,Xiangjie Li,Chinese Academy of Medical Sciences & Peking Union Medical College Fuwai Hospital,NA,NA,NA,NA,NA,10.1371/journal.pone.0230295,The SARS-CoV-2 receptor ACE2 expression of maternal-fetal interface and fetal organs by single-cell transcriptome study,16/04/2020,PLOS ONE,Public Library of Science (PLoS),49,TRUE,gold,TRUE
10.1101/2020.02.29.20029322,4,1,3,10,2,-8,1.666666667,NA,-1.666666667,-1,0,0,5,0,0,0,6.306,63464,medrxiv,03/03/2020,TRUE,"Vicarious traumatization in the general public, members, and non-members of medical teams aiding in COVID-19 control",1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,psychiatry and clinical psychology,"Li, Z.; Ge, J.; Yang, M.; Feng, J.; Qiao, M.; Jiang, R.; Bi, J.; Zhan, G.; Xu, X.; Wang, L.; Zhou, Q.; Zhou, C.; Pan, Y.; Liu, S.; Zhang, H.; Yang, J.; Zhu, B.; Hu, Y.; Hashimoto, K.; Jia, Y.; Wang, H.; Wang, R.; Liu, C.; Yang, C.",24,Cunming Liu,The First Affiliated Hospital of Nanjing Medical University,1,PHRASE,Jiangsu Province Hospital,China,CN,10.1016/j.bbi.2020.03.007,"Vicarious traumatization in the general public, members, and non-members of medical teams aiding in COVID-19 control",10/03/2020,"Brain, Behavior, and Immunity",Elsevier BV,7,TRUE,green,FALSE
10.1101/2020.02.29.20029462,0,1,0,5,5,0,1,5,4,-1,0,0,21,0,0,1,2.954,63572,medrxiv,06/03/2020,TRUE,68 Consecutive patients assessed for COVID-19 infection; experience from a UK regional infectious disease unit,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Easom, N.; Moss, P.; Barlow, G.; Samson, A.; Taynton, T.; Adams, K.; Ivan, M.; Burns, P.; Gajee, K.; Eastick, K.; Lillie, P.",11,Patrick Lillie,"Department of Infection, Hull University Teaching Hospitals NHS Trust, Hull, East Yorkshire, United Kingdom",NA,NA,NA,NA,NA,10.1111/irv.12739,Sixty-eight consecutive patients assessed for COVID-19 infection: Experience from a UK Regional infectious diseases Unit,29/03/2020,Influenza and Other Respiratory Viruses,Wiley,23,TRUE,gold,TRUE
10.1101/2020.02.29.965418,0,1,2,9,16,7,2,3.2,1.2,-1,0,0,8,0,0,0,1.23,35516,biorxiv,02/03/2020,TRUE,The within-host viral kinetics of SARS-CoV-2,2,1225,18,4,1,cc_by_nc_nd,new results,biophysics,"Li, C.; Jinhu, X.; Liu, J.; Zhou, Y.",4,Chentong Li,Xi'an Jiaotong University,1,PHRASE,Xi'an Jiaotong University,China,CN,10.3934/mbe.2020159,The within-host viral kinetics of SARS-CoV-2,25/03/2020,Mathematical Biosciences and Engineering,American Institute of Mathematical Sciences (AIMS),23,TRUE,gold,TRUE
10.1101/2020.03.01.20029074,0,-1,1,13,4,-9,3.25,4,0.75,0,0,1,25,0,0,2,NA,63494,medrxiv,03/03/2020,TRUE,Lymphopenia predicts disease severity of COVID-19: a descriptive and predictive study,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Tan, L.; Wang, Q.; Zhang, D.; Ding, J.; Huang, Q.; Tang, Y.-Q.; Wang, Q.; Miao, H.",8,Hongming Miao,Third Military Medical University (Army Medical University),NA,NA,NA,NA,NA,10.1038/s41392-020-0148-4,Lymphopenia predicts disease severity of COVID-19: a descriptive and predictive study,27/03/2020,Signal Transduction and Targeted Therapy,Springer Science and Business Media LLC,24,TRUE,gold,TRUE
10.1101/2020.03.02.20026708,2,0,0,12,12,0,3,3,0,0,0,0,181,0,0,0,41.058,63569,medrxiv,06/03/2020,TRUE,The effect of human mobility and control measures on the COVID-19 epidemic in China,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Kraemer, M. U. G.; Yang, C.-H.; Gutierrez, B.; Wu, C.-H.; Klein, B.; Pigott, D. M.; open COVID-19 data working group,  ; du Plessis, L.; Faria, N. R.; Li, R.; Hanage, W. P.; Brownstein, J. S.; Layan, M.; Vespignani, A.; Tian, H.; Dye, C.; Cauchemez, S.; Pybus, O.; Scarpino, S. V.",19,Samuel V Scarpino,Northeastern University,1,PHRASE,Universidad del Noreste,United States,US,10.1126/science.abb4218,The effect of human mobility and control measures on the COVID-19 epidemic in China,25/03/2020,Science,American Association for the Advancement of Science (AAAS),19,TRUE,hybrid,FALSE
10.1101/2020.03.02.20030189,1,0,1,14,9,-5,2.5,3,0.5,-2,0,1,1320,2,27,4,9.117,63478,medrxiv,03/03/2020,TRUE,Antibody responses to SARS-CoV-2 in patients of novel coronavirus disease 2019,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Zhao, J.; Yuan, Q.; Wang, H.; Liu, W.; Liao, X.; Su, Y.; Wang, X.; Yuan, J.; Li, T.; Li, J.; Qian, S.; Hong, C.; Wang, F.; Liu, Y.; Wang, Z.; He, Q.; Li, Z.; He, B.; Zhang, T.; Ge, S.; Liu, L.; Zhang, J.; Xia, N.; Zhang, Z.",24,Quan Yuan,National Institute of Diagnostics and Vaccine Development in Infectious Diseases,NA,NA,NA,NA,NA,10.1093/cid/ciaa344,Antibody Responses to SARS-CoV-2 in Patients With Novel Coronavirus Disease 2019,27/03/2020,Clinical Infectious Diseases,Oxford University Press (OUP),24,TRUE,green,FALSE
10.1101/2020.03.02.20030320,0,0,0,2,2,0,NA,NA,0,-1,0,0,5,0,0,1,3.202,63505,medrxiv,06/03/2020,TRUE,Preliminary estimation of the novel coronavirus disease (COVID-19) cases in Iran: a modelling analysis based on overseas cases and air travel data,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Zhuang, Z.; Zhao, S.; Lin, Q.; Cao, P.; Lou, Y.; Yang, L.; He, D.",7,Daihai He,Hong Kong Polytechnic University,1,PHRASE,Hong Kong Polytechnic University,China,CN,10.1016/j.ijid.2020.03.019,Preliminary estimation of the novel coronavirus disease (COVID-19) cases in Iran: A modelling analysis based on overseas cases and air travel data,14/04/2020,International Journal of Infectious Diseases,Elsevier BV,39,TRUE,gold,TRUE
10.1101/2020.03.02.968388,1,0,2,6,11,5,1,1.833333333,0.833333333,-1,0,0,79,3,5,2,2.41,35633,biorxiv,03/03/2020,TRUE,Crystal structure of Nsp15 endoribonuclease NendoU from SARS-CoV-2,1,3208,38,5,1,cc_by_nd,new results,molecular biology,"Kim, Y.; Jedrzejczak, R.; Maltseva, N. I.; Endres, M.; Godzik, A.; Michalska, K.; Joachimiak, A.",7,Andrzej Joachimiak,University of Chicago/Argonne National Laboratory,NA,NA,NA,NA,NA,10.1002/pro.3873,"Crystal structure of Nsp15 endoribonuclease
            NendoU
            from
            SARS-CoV
            -2",18/04/2020,Protein Science,Wiley,46,TRUE,hybrid,FALSE
10.1101/2020.03.05.20031773,1,2,0,5,5,0,3,5,2,1,0,4,388,8,10,7,7.127,63607,medrxiv,08/03/2020,TRUE,Estimating the infection and case fatality ratio for COVID-19 using age-adjusted data from the outbreak on the Diamond Princess cruise ship,2,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,epidemiology,"Russell, T. W.; Hellewell, J.; Jarvis, C. I.; van-Zandvoort, K.; Abbott, S.; Ratnayake, R.; CMMID nCov working group,  ; Flasche, S.; Eggo, R. M.; Kucharski, A. J.",10,Timothy W Russell,London School of Hygiene and Tropical Medicine,NA,NA,NA,NA,NA,10.2807/1560-7917.es.2020.25.12.2000256,"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020",26/03/2020,Eurosurveillance,European Centre for Disease Control and Prevention (ECDC),18,TRUE,gold,TRUE
10.1101/2020.03.06.977876,0,0,2,20,31,11,4.75,3.875,-0.875,1,0,0,110,0,0,1,6.014,36219,biorxiv,07/03/2020,TRUE,Crystal structure of SARS-CoV-2 nucleocapsid protein RNA binding domain reveals potential unique drug targeting sites,2,2771,42,8,1,cc_no,new results,molecular biology,"Chen, S.; Kang, S.; Yang, M.; Hong, Z.; Zhang, L.; Huang, Z.; Chen, X.; He, S.; Zhou, Z.; Zhou, Z.; Chen, Q.; Yan, Y.; Zhang, C.; Shan, H.",14,Shoudeng Chen,"The Fifth Affiliated Hospital, Sun Yat-sen University",NA,NA,NA,NA,NA,10.1016/j.apsb.2020.04.009,Crystal structure of SARS-CoV-2 nucleocapsid protein RNA binding domain reveals potential unique drug targeting sites,21/04/2020,Acta Pharmaceutica Sinica B,Elsevier BV,45,TRUE,gold,TRUE
10.1101/2020.03.07.20031575,0,1,0,6,6,0,1,2,1,-2,0,0,6,0,0,0,3.751,63641,medrxiv,10/03/2020,TRUE,Prognostic value of NT-proBNP in patients with severe COVID-19,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,epidemiology,"Gao, L.; Jiang, D.; Wen, X.; Cheng, X.; Sun, M.; He, B.; You, L.-n.; Lei, P.; Tan, X.-w.; Qin, S.; Cai, G.; Zhang, D.",12,Dongying Zhang,The First Affiliated Hospital of Chongqing Medical University,1,PHRASE,First Affiliated Hospital of Chongqing Medical University,China,CN,10.1186/s12931-020-01352-w,Prognostic value of NT-proBNP in patients with severe COVID-19,15/04/2020,Respiratory Research,Springer Science and Business Media LLC,36,TRUE,gold,TRUE
10.1101/2020.03.08.20032946,1,1,1,8,8,0,1,1.6,0.6,0,0,0,114,0,3,4,41.058,63655,medrxiv,12/03/2020,TRUE,Quantifying dynamics of SARS-CoV-2 transmission suggests that epidemic control and avoidance is feasible through instantaneous digital contact tracing,2,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,epidemiology,"Ferretti, L.; Wymant, C.; Kendall, M.; Zhao, L.; Nurtay, A.; Bonsall, D. G.; Fraser, C.",7,Christophe Fraser,University of Oxford,1,PHRASE,University of Oxford,United Kingdom,GB,10.1126/science.abb6936,Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing,31/03/2020,Science,American Association for the Advancement of Science (AAAS),19,TRUE,hybrid,FALSE
10.1101/2020.03.09.20033217,0,1,2,5,3,-2,2,3,1,0,0,41,13407,27,333,17,79.258,63624,medrxiv,10/03/2020,TRUE,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,2,NA,NA,NA,NA,cc0,PUBLISHAHEADOFPRINT,infectious diseases,"van Doremalen, N.; Bushmaker, T.; Morris, D.; Holbrook, M.; Gamble, A.; Williamson, B.; Tamin, A.; Harcourt, J.; Thornburg, N.; Gerber, S.; Lloyd-Smith, J.; de Wit, E.; Munster, V.",13,Vincent Munster,NIAID,NA,NA,NA,NA,NA,10.1056/nejmc2004973,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,17/03/2020,New England Journal of Medicine,Massachusetts Medical Society,7,TRUE,bronze,FALSE
10.1101/2020.03.09.983064,0,-1,0,6,6,0,2,3,1,0,0,0,9,0,0,0,4.88,36648,biorxiv,12/03/2020,TRUE,Development of Reverse Transcription Loop-mediated Isothermal Amplification (RT-LAMP) Assays Targeting SARS-CoV-2,2,1998,25,4,2,cc_by_nc_nd,new results,microbiology,"Park, G.-S.; Ku, K.; Beak, S.-H.; Kim, S. J.; Kim, S. I.; Kim, B.-T.; Maeng, J.-S.",7,Gun-Soo Park,Korea Food Research Institute,1,PHRASE,Korea Food Research Institute,South Korea,KR,10.1016/j.jmoldx.2020.03.006,Development of Reverse Transcription Loop-Mediated Isothermal Amplification Assays Targeting Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),07/04/2020,The Journal of Molecular Diagnostics,Elsevier BV,26,TRUE,bronze,FALSE
10.1101/2020.03.09.983247,0,0,0,41,41,0,6.666666667,6.833333333,0.166666666,0,0,1,95,0,1,1,15.393,36647,biorxiv,12/03/2020,TRUE,Inhibition of SARS-CoV-2 infection (previously 2019-nCoV) by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein that harbors a high capacity to mediate membrane fusion,1,6670,40,6,1,cc_no,new results,microbiology,"Xia, S.; Liu, M.; Wang, C.; Xu, W.; Lan, Q.; Feng, S.; Qi, F.; Bao, L.; Du, L.; Liu, S.; Qin, C.; Sun, F.; Shi, Z.; Zhu, Y.; Jiang, S.; Lu, L.",16,Lu Lu,Fudan University,1,PHRASE,Fudan University,China,CN,10.1038/s41422-020-0305-x,Inhibition of SARS-CoV-2 (previously 2019-nCoV) infection by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein that harbors a high capacity to mediate membrane fusion,30/03/2020,Cell Research,Springer Science and Business Media LLC,18,TRUE,hybrid,FALSE
10.1101/2020.03.09.984856,0,0,0,1,1,0,NA,NA,0,-1,0,0,19,0,0,1,4.255,36533,biorxiv,11/03/2020,TRUE,Tilorone: A Broad-Spectrum Antiviral For Emerging Viruses,1,801,5,0,1,cc_by_nc_nd,new results,pharmacology and toxicology,"Ekins, S.; Madrid, P.",2,Sean Ekins,Collaborations Pharmaceuticals Inc,NA,NA,NA,NA,NA,10.1128/aac.00440-20,"Tilorone, a Broad-Spectrum Antiviral for Emerging Viruses",19/03/2020,Antimicrobial Agents and Chemotherapy,American Society for Microbiology,8,TRUE,bronze,FALSE
10.1101/2020.03.10.20033605,0,1,0,9,9,0,5,9,4,-1,0,0,107,3,5,3,9.117,63698,medrxiv,13/03/2020,TRUE,Maternal and neonatal outcomes of pregnant women with COVID-19 pneumonia: a case-control study,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Li, N.; Han, L.; Peng, M.; Lv, Y.; Ouyang, Y.; Liu, K.; Yue, L.; Li, Q.; Sun, G.; Chen, L.; Yang, L.",11,Lin Yang,The Hong Kong Polytechnic University,1,PHRASE,Hong Kong Polytechnic University,China,CN,10.1093/cid/ciaa352,Maternal and Neonatal Outcomes of Pregnant Women With Coronavirus Disease 2019 (COVID-19) Pneumonia: A Case-Control Study,27/03/2020,Clinical Infectious Diseases,Oxford University Press (OUP),14,TRUE,bronze,FALSE
10.1101/2020.03.11.20034314,0,0,0,21,21,0,2.111111111,2.333333333,0.222222222,0,0,0,5,0,0,0,1.23,63675,medrxiv,13/03/2020,TRUE,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Liu, Z.; magal, p.; Seydi, O.; Webb, G.",4,Glenn Webb,Vanderbilt University,1,PHRASE,Vanderbilt University,United States,US,10.3934/mbe.2020172,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data,07/04/2020,Mathematical Biosciences and Engineering,American Institute of Mathematical Sciences (AIMS),25,TRUE,gold,TRUE
10.1101/2020.03.13.20034496,0,0,0,6,6,0,1,3,2,-1,0,1,15,0,3,1,2.223,63715,medrxiv,16/03/2020,TRUE,"Health, distress, and life satisfaction of people one-month into COVID-19 outbreak in China",2,NA,NA,NA,NA,cc_by_nd,PUBLISHAHEADOFPRINT,psychiatry and clinical psychology,"Zhang, S. X.; Wang, Y.; Rauch, A.; Wei, F.",4,Stephen X Zhang,University of Adelaide,1,PHRASE,University of Adelaide,Australia,AU,10.1016/j.psychres.2020.112958,"Unprecedented disruption of lives and work: Health, distress and life satisfaction of working adults in China one month into the COVID-19 outbreak",04/04/2020,Psychiatry Research,Elsevier BV,19,TRUE,green,FALSE
