X1.x,doi,abstract,published_abstract_source,published_abstract_source_notes,change_outcomes,difflib standard change_ratio,exclude,Word_raw_char_change,Word_change_ratio,1_annotations,1+_annotations,1-_annotations,significant_annotations,Highest_change,X1.y,source,posted_date,covid_preprint,title,n_versions,n_words,n_refs,n_figs,n_tables,license,type,category,authors,n_authors,author_corresponding,author_corresponding_institution,institution_match_score,institution_match_type,institution_match_name,institution_match_country_name,institution_match_country_code,published_doi.x,published_title,published_date,published_journal,published_publisher,delay_in_days,published_article_is_oa,published_article_oa_status,published_journal_is_oa
41,10.1101/19011130,"Abstract Background: Malnutrition especially under nutrition is the main problem that is seen over people living with HIV/AIDS and can occur at any age. Multiple factors contributed to malnutrition of HIV/AIDS patients and it need immediate identification and prompt action. The objective of this study was to assess the nutritional status of patients and identify factors associated with malnutrition among HIV/AIDS patients on follow-up care in Jimma medical center, Southwest Ethiopia. Methods: A cross-sectional study design was conducted from March-April, 2016. Data was collected retrospectively from clinical records of HIV/AIDS patients enrolled for follow up care in ART clinic from June 2010 to January 2016. Binary and multiple variable logistic regression was done to identify independent predictor of malnutrition. Results: Data of 971 patients were included in the study. The prevalence of under nutrition (BMI<18.5) was (36.8%) (95% CI: 33.8%-39.8%) and out of which severe malnutrition accounts 9.7%. Overweight and obese was 8.6%. Malnutrition was more likely among widowed patients (AOR=1.7, 95% CI, 1.034-2.798), patients in the WHO clinical AIDS staging of three (AOR=2.3, 95% CI, 1.392-3.693) and four (AOR=3.2, 95% CI, 1.667-5.943), patients with CD4 cell count of <200 cells/mm3 (AOR=2.0, 95% CI, 1.463-2.837) and patients with a functional status of bedridden (AOR=4.677, 95% CI, 1.761-12.419) and ambulatory (AOR=2.763, 95% CI, 1.833-4.165). Conclusion: Both under nutrition and overweight are prevalent among HIV/AIDS patients in Jimma Medical Center, Ethiopia. Malnutrition was significantly associated with clinical outcome of patients. Hence, nutritional assessment, care and support should be strengthened. Critical identification of malnourished patients and prompt interventions should be undertaken.",Copied,NA,2,0.271879855,keep,1045,0.273433454,3,11,4,0,1,29778,medrxiv,05/11/2019,FALSE,"Prevalence of malnutrition and associated factors among adult patients on Antiretroviral Therapy follow up care in Jimma Medical Center, Southwest Ethiopia.",1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,hiv aids,"Daka, D. W.; Ergiba, M. S.",2,Dawit W Daka,Jimma University,1,PHRASE,Jimma University,Ethiopia,ET,10.1371/journal.pone.0229883,"Prevalence of malnutrition and associated factors among adult patients on antiretroviral therapy follow-up care in Jimma Medical Center, Southwest Ethiopia",12/03/2020,PLOS ONE,Public Library of Science (PLoS),128,TRUE,gold,TRUE
42,10.1101/19011213,"Abstract Background: Concern has been raised about consequences of including patients with left ventricular assist device (LVAD) or heart transplantation (HT) in readmission and mortality measures. Methods: We calculated unadjusted and hospital-specific 30-day risk-standardized mortality (RSMR) and readmission (RSRR) rates for all Medicare fee-for-service beneficiaries with a primary diagnosis of AMI or HF discharged between July 2010 and June 2013. Hospitals were compared before and after excluding LVAD and HT patients. LVAD indication was measured. Results: For the AMI and HF cohorts, <0.2% of patients received an LVAD and <0.1% received HT in either cohort. Less than 2% of hospitals had either >6 patients who received an LVAD or, independently, had >1 HT. The AMI mortality and readmission cohorts used 1.8% and 2.8% of LVADs for semi-permanent/permanent indications, versus 73.8% and 78.0% for HF patients, respectively. The rest were for temporary/external indications. In the AMI cohort, RSMR for hospitals without LVAD patients versus hospitals with >6 LVADs was 14.8% and 14.3%, and RSRR was 17.8% and 18.3%, respectively; the HF cohort RSMR was 11.9% and 9.7% and RSRR was 22.6% and 23.4%, respectively. In the AMI cohort, RSMR for hospitals without versus with HT patients was 14.7% and 13.9% and RSRR was 17.8% and 17.7%, respectively; in the HF cohort, RSMR was 11.9% and 11.0%, and RSRR was 22.6% and 22.6%, respectively. Estimations changed <0.1% after excluding LVAD or HT patients. Conclusion: Hospitals caring for >6 patients with LVAD or >1 HT had lower RSMRs but higher RSRRs on average. Rates were insignificantly changed when these patients were excluded. LVADs were primarily for acute-care in the AMI cohort and chronic support in the HF cohort. LVAD and HT patients are a distinct group with differential care requirements and outcomes, thus should be considered separately from the rest of the HF cohort.",Copied,NA,0,0.668636256,keep,731,0.181753723,1,9,4,0,1,29780,medrxiv,05/11/2019,FALSE,Impact of left ventricular assist devices and heart transplant on acute myocardial infarction and heart failure mortality and readmission measures,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,cardiovascular medicine,"Brandt, E. J.; Ross, J. S.; Grady, J. N.; Ahmad, T.; Pawar, S.; Bernheim, S. M.; Desai, N.",7,Nihar Desai,Yale School of Medicine,1,PHRASE,Yale School of Medicine,United States,US,10.1371/journal.pone.0230734,Impact of left ventricular assist devices and heart transplants on acute myocardial infarction and heart failure mortality and readmission measures,26/03/2020,PLOS ONE,Public Library of Science (PLoS),142,TRUE,gold,TRUE
43,10.1101/19011452,"Background: Many California nail salon workers are low-income Vietnamese women of reproductive age who use nail products daily that contain androgen-disrupting phthalates which may increase risk of male reproductive tract abnormalities during pregnancy. Yet, few studies have characterized phthalate exposures among this workforce. Objective: To characterize individual metabolites and cumulative phthalates exposure among a potentially vulnerable occupational group of nail salon workers. Study Design: We collected 17 post-shift urine samples from Vietnamese workers at six San Francisco Bay Area nail salons in 2011, which were analyzed for four primary phthalate metabolites: mono-n-butyl-, mono-isobutyl-, mono(2-ethylhexyl)-, and monoethyl phthalates (MnBP, MiBP, MEHP, and MEP, respectively) (g/L). Phthalate metabolite concentrations and a potency-weighted sum of parent compound daily intake ({Sigma}androgen-disruptor, g/kg/day) were compared to 203 Asian Americans from the 2011-12 National Health and Nutritional Examination Survey (NHANES) using Student t-test and Wilcoxin signed rank test. Results: Creatinine-corrected MnBP, MiBP, MEHP (g/g), and cumulative phthalates exposure ({Sigma}androgen-disruptor, g/kg/day) levels were 2.9 (p < 0.0001), 1.6 (p = 0.015), 2.6 (p < 0.0001), and 2.0 (p < 0.0001) times higher, respectively, in our nail salon worker population compared to NHANES Asian Americans. Levels exceeded the NHANES 95th or 75th percentiles among some workers. Conclusion: This pilot study suggests that nail salon workers are disproportionately exposed to multiple phthalates, a finding that warrants further investigation to assess their potential health significance.",Copied,NA,0,0.178657074,keep,130,0.039568345,2,0,0,0,1,29807,medrxiv,12/11/2019,FALSE,A pilot biomonitoring study of cumulative phthalates exposure among Vietnamese American nail salon workers,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,occupational and environmental health,"Varshavsky, J. R.; Morello-Frosch, R.; Harwani, S.; Snider, M.; Petropoulou, S.-S. E.; Park, J.-S.; Petreas, M.; Reynolds, P.; Nguyen, T.; Quach, T.",10,Julia Rachel Varshavsky,"University of California, Berkeley, School of Public Health, Berkeley, CA, USA, and University of California, San Francisco, Program on Reproductive Health and",1,PHRASE,"University of California, Berkeley",United States,US,10.3390/ijerph17010325,A Pilot Biomonitoring Study of Cumulative Phthalates Exposure among Vietnamese American Nail Salon Workers,03/01/2020,International Journal of Environmental Research and Public Health,MDPI AG,52,TRUE,gold,TRUE
44,10.1101/19011577,"Leishmaniasis is a vector borne zoonosis which is classified as a neglected tropical disease. Among the three most common forms of the disease, Visceral Leishmaniasis (VL) is the most threatening to human health, causing 20,000 to 30,000 deaths worldwide each year. Areas where VL is mostly endemic have unprotected dogs in community and houses. The presence of dogs usually increases VL risk for humans since dogs are the principal reservoir host for the parasite of the disease. Based on this fact, most earlier studies consider culling dogs as a control measure for the spread of VL. A more recent control measure has been the use of deltamethrin-impregnated dog collars (DIDCs) to protect both humans and dogs by putting DIDCs on dogs neck. The presence of dogs helps to grow the sandfly population faster by offering a more suitable blood-meal source. On the other hand, the presence of DIDCs on dogs helps to reduce sandfly population by the lethality of deltamethrin insecticide. This study brings an ecological perspective to this public health concern, aiming to understand the impact of an additional host (here, protected dogs) on disease risk to a primary host (here, humans). To answer this question, we compare two different settings: a community without dogs, and a community with dogs protected with DIDC. Our analysis shows the presence of protected dogs can reduce VL infection risk in humans. However, this disease risk reduction depends on dogs' tolerance for sandfly bites.",Copied,NA,0,0.006390851,keep,25,0.008409014,0,0,0,0,0,29816,medrxiv,12/11/2019,FALSE,Impact of dogs with deltamethrin-impregnated collarson prevalence of visceral leishmaniasis,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,public and global health,"Zahid, M. H.; Kribs, C.",2,Mondal Hasan Zahid,University of Texas at Arlington,1,PHRASE,The University of Texas at Arlington,United States,US,10.1016/j.idm.2020.01.001,Impact of dogs with deltamethrin-impregnated collars on prevalence of visceral leishmaniasis,10/01/2020,Infectious Disease Modelling,Elsevier BV,59,TRUE,gold,TRUE
45,10.1101/19011775,"To determine the feasibility of complex home-based phenotyping, 1,876 research participants from the customer base of 23andMe participated in an online version of a Pain Sensitivity Questionnaire (PSQ) as well as a cold pressor test (CPT) which is used in clinical assessments of pain. Overall our online version of the PSQ performed similarly to the original pen-and-paper version. Construct validity of the PSQ total was demonstrated by internal consistency and consistent discrimination between more and less painful items. Criterion validity was demonstrated by correlation with pain sensitivity as measured by the cold pressor test. Within the same cohort we performed a cold pressor test using a layperson description and household equipment. Comparison with published reports from controlled studies revealed similar distributions of cold pain tolerance times (i.e., time elapsed before removing the hand from the water). Of those who elected to participate in the CPT, a large majority of participants did not report issues with the test procedure or noncompliance to the instructions (97%). We confirmed a large sex difference in CPT thresholds in line with published data, such that women removed their hands from the water at a median of 54.2 seconds, with men lasting for a median time of 82.7 seconds (Kruskal-Wallis statistic, p < 0.0001), but other factors like age or current pain treatment were at most weakly associated, and inconsistently between men and women. We introduce a new paradigm for performing pain testing, called testing@home, that, in the case of cold nociception, showed comparable results to studies conducted under controlled conditions and supervision of a health care professional.",Copied,NA,0,0.014619883,keep,55,0.015204678,0,0,0,0,0,29845,medrxiv,18/11/2019,FALSE,Validity of the Cold Pressor Test and Pain Sensitivity Questionnaire via online self-administration,1,NA,NA,NA,NA,cc_by_nd,PUBLISHAHEADOFPRINT,pain medicine,"McIntyre, M.; 23andMe Research Team,  ; Kless, A.; Hein, P.; Field, M.; Tung, J. Y.",6,Achim Kless,Grunenthal,1,PHRASE,Grunenthal (Spain),Spain,ES,10.1371/journal.pone.0231697,Validity of the cold pressor test and pain sensitivity questionnaire via online self-administration,16/04/2020,PLOS ONE,Public Library of Science (PLoS),150,TRUE,gold,TRUE
46,10.1101/19011957,"Objectives: To assess variation by EHR system in breaches of safety guidance around prescribing of ciclosporin, tacrolimus and diltiazem; to conduct user-interface research into the causes of such breaches. Design: A retrospective cohort study. Setting: Prescribing data in English primary care. Participants: English general practices and their respective electronic health records. Main outcome measures: The main outcome measures were (1) variation in ratio of breaching / adherent prescribing all practices (2) description of observations of EHR usage. Results: A total of 2,575,411 prescriptions were issued in 2018 for ciclosporin, tacrolimus and diltiazem (over 60mg); of these, 316,119 prescriptions breached NHS guidance (12.3%). Breaches were most common amongst users of the EMIS EHR (in 23.2% of ciclosporin & tacrolimus prescriptions, and 22.7% of diltiazem prescriptions); but breaches were observed in all EHRs. Conclusion: Design choices in EHR strongly influence safe prescribing of ciclosporin, tacrolimus and diltiazem; and breaches are prevalent in general practices in England. We recommend that all EHR vendors review their systems to increase safe prescribing of these medicines in line with national guidance. Almost all clinical practice is now mediated through an EHR system: further quantitative research into the effect of EHR design on clinical practice is long overdue.",Copied,NA,0,0.257893092,keep,570,0.196623945,1,0,0,0,1,29809,medrxiv,12/11/2019,FALSE,"Impact Of Electronic Health Record Interface Design On Unsafe Prescribing Of Ciclosporin, Tacrolimus and Diltiazem: A Cohort Study In English NHS Primary Care",1,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,health informatics,"MacKenna, B.; Bacon, S.; Walker, A. J.; Curtis, H. J.; Croker, R.; Goldacre, B.",6,Ben Goldacre,University of Oxford,1,PHRASE,University of Oxford,United Kingdom,GB,10.2196/17003,"Impact Of Electronic Health Record Interface Design On Unsafe Prescribing Of Ciclosporin, Tacrolimus and Diltiazem: A Cohort Study In English NHS Primary Care (Preprint)",29/02/2020,Journal of Medical Internet Research,JMIR Publications Inc.,109,TRUE,gold,TRUE
47,10.1101/19012112,"Background Intranasal administration of the prosocial neuropeptide oxytocin is increasingly explored as a potential treatment for targeting the core characteristics of autism spectrum disorder (ASD). However, long-term follow-up studies, evaluating the possibility of long-lasting retention effects are currently lacking. Methods Using a double-blind, randomized, placebo-controlled, parallel design, this pilot clinical trial explored the possibility of long-lasting behavioral effects of four weeks of intranasal oxytocin treatment (24 International Units once daily in the morning) in 40 adult men with ASD. To do so, self-report and informant-based questionnaires assessing core autism symptoms and characterizations of attachment were administered at baseline, immediately after four weeks of treatment (approximately 24 hours after the last nasal spray administration), and at two follow-up sessions, four weeks and one year post-treatment. Results No treatment-specific effects were identified in the primary outcome assessing social symptoms (Social responsiveness scale, self- and informant-rated). In particular, with respect to self-reported social responsiveness, improvements were evident both in the oxytocin and in the placebo group, yielding no significant between-group difference (p= .37). Also informant-rated improvements in social responsiveness were not significantly larger in the oxytocin, compared to the placebo group (between-group difference: p= .19). Among the secondary outcome measures, treatment-specific improvements were identified in the Repetitive Behavior Scale and State Adult Attachment Measure, indicating reductions in self-reported repetitive behaviours (p= .04) and reduced feelings of avoidance towards others (p= .03) in the oxytocin group compared to the placebo group, up to one month and even one year post-treatment. Treatment-specific effects were also revealed in screenings of mood states (Profile of Mood States), indicating higher reports of vigor (feeling energetic, active, lively) in the oxytocin, compared to the placebo group (p= .03). Conclusions While no treatment-specific improvements were evident in terms of core social symptoms, the current observations of long-term beneficial effects on repetitive behaviors and feelings of avoidance are promising and suggestive of a therapeutic potential of oxytocin treatment for ASD. However, given the exploratory nature of this pilot study, future studies are warranted to evaluate the long-term effects of OT administration further.",Copied,NA,0,0.064821835,keep,383,0.072782411,0,1,0,0,1,29844,medrxiv,18/11/2019,FALSE,"Behavioral effects of multiple-dose oxytocin treatment in autism: A randomized, placebo-controlled trial with long-term follow-up",1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,psychiatry and clinical psychology,"Bernaerts, S.; Boets, B.; Bosmans, G.; Steyaert, J.; Alaerts, K.",5,Kaat Alaerts,KU Leuven,1,PHRASE,KU Leuven,Belgium,BE,10.1186/s13229-020-0313-1,"Behavioral effects of multiple-dose oxytocin treatment in autism: a randomized, placebo-controlled trial with long-term follow-up",15/01/2020,Molecular Autism,Springer Science and Business Media LLC,58,TRUE,gold,TRUE
48,10.1101/19012435,"Background: Asthma diagnosis in the community is often made without objective testing. Objective: The aim of this study was to evaluate the cost-effectiveness of implementing a stepwise objective diagnostic verification algorithm among patients with community-diagnosed asthma in the United States (US). Methods: We developed a probabilistic time-in-state cohort model that compared a stepwise asthma verification algorithm based on spirometry and methacholine challenge test against the current standard of care over 20 years. Model input parameters were informed from the literature and with original data analyses when required. The target population was US adults (15 y/o or older) with physician-diagnosed asthma. The final outcomes were costs (in 2018 $) and quality-adjusted life years (QALYs), discounted at 3% annually. Deterministic and probabilistic analyses were undertaken to examine the effect of alternative assumptions and uncertainty in model parameters on the results. Results: In a simulated cohort of 10,000 adults with diagnosed asthma, the stepwise algorithm resulted in the removal of diagnosis in 3,366. This was projected to be associated with savings of $36.26 million in direct costs and a gain of 4,049.28 QALYs over 20 years. Extrapolating these results to the US population indicated an undiscounted potential savings of $56.48 billion over 20 years. Results were robust against alternative assumptions and plausible changes in values of input parameters. Conclusion: Implementation of a simple diagnostic testing algorithm to verify asthma diagnosis might result in substantial savings and improvement in patients quality of life.",Copied,NA,0,0.24618606,keep,88,0.026622794,0,0,0,0,0,29874,medrxiv,22/11/2019,FALSE,Cost-effectiveness of implementing objective diagnostic verification of asthma in the United States,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,respiratory medicine,"Yaghoubi, M.; Adibi, A.; Zafari, Z.; FitzGerald, J. M.; Aaron, S.; Johnson, K.; Sadatsafavi, M.",7,Mohsen Sadatsafavi,The University of British Columbia,1,PHRASE,University of British Columbia,Canada,CA,10.1016/j.jaci.2019.11.038,Cost-effectiveness of implementing objective diagnostic verification of asthma in the United States,11/12/2019,Journal of Allergy and Clinical Immunology,Elsevier BV,19,TRUE,hybrid,FALSE
49,10.1101/19012823,"Purpose: The use of mobile health (mHealth) technologies to augment patient care, enables providers to communicate remotely with patients enhancing the quality of care and patient engagement. Few studies addressed barriers to its implementation, especially in medically underserved populations. Methods: A cross-sectional study of 151 cancer patients was conducted at an academic medical center in the United States. A trained interviewer performed structured interviews regarding the barriers and facilitators of current and desired utilization of technology for healthcare services. Results: Of the 151 participants, 35.8% were male and ages ranged from 21-104 years. Only 73.5% of participants currently have daily access to internet, and 68.2% currently own a smartphone capable of displaying mobile applications. Among all participants, utilization of a daily mHealth application was significantly higher in patients with a college-level degree (OR; 2.78, p<0.01) and lower in older patients (OR; 0.05, p<0.01). Differences in utilization when adjusted for current smartphone use and daily access to internet were nonsignificant. Among smartphone users, the desire to increase cancer knowledge was associated with a higher likelihood of utilizing a mHealth application (OR; 261.53, p<0.01). Conclusion: The study suggests the access to mobile technology is the predominant determinant of utilization. Healthcare organizations should consider these factors when launching patient engagement platforms.",Copied,NA,3,0.197857593,keep,534,0.175173283,6,1,2,2,2,29875,medrxiv,22/11/2019,FALSE,"Access to internet, smartphone usage, and acceptability of mobile health technology among cancer patients",1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,oncology,"Potdar, R.; Thomas, A.; DiMeglio, M.; Mohiuddin, K.; Djibo, D. A.; Laudanski, K.; Dourado, C.; Leighton, J.; Ford, J.",9,Matthew DiMeglio,"DO/MBA Student, Philadelphia College of Osteopathic Medicine, Philadelphia, PA, USA",1,PHRASE,Philadelphia College of Osteopathic Medicine,United States,US,10.1007/s00520-020-05393-1,"Access to internet, smartphone usage, and acceptability of mobile health technology among cancer patients",12/03/2020,Supportive Care in Cancer,Springer Science and Business Media LLC,111,TRUE,green,FALSE
50,10.1101/19012880,"Background Stereotactic radiosurgery is a form of radiotherapy that is performed in a single session and focuses high-dose ionizing radiation beams from a collimated radiation source to a small, localized area of the body. Recently, stereotactic radiosurgery has been applied to arrhythmias (stereotactic arrhythmia radioablation - STAR), with promising results reported in patients with refractory, scar-related ventricular tachycardia (VT), a cohort with known high morbidity and mortality. Objective Herein, we describe our experience with the use of CyberKnife, a frameless image-guided linear accelerator stereotactic radiosurgery system, in conjunction with CardioPlan, a cardiac specific radiotherapy planning software, to treat patients with scar-related VT, detailing its early and mid- to long-term results. Methods This is a pilot, prospective study of patients undergoing STAR for refractory VT. The anatomical target for radioablation was defined based on the clinical VT morphology, electroanatomical mapping, and study-specific pre-procedural imaging with cardiac computed tomography. The target volume delineated with the aid of CardioPlan was treated with a prescription radiation dose of 25 Gy delivered in a single fraction by CyberKnife in an outpatient setting. Ventricular arrhythmias and radiation-related adverse events were monitored at follow-up to determine STAR efficacy and safety. Results Five patients (100 % male, 63 ± 12 years old, 80 % ischemic cardiomyopathy, left ventricular ejection fraction 34 ± 15 %) with refractory VT underwent STAR between January and June 2018. Radioablation was delivered in 82 ± 11 minutes without acute complications. During a mean follow-up of 12 ± 2 months, all patients experienced clinically significant mid- to late-term ventricular arrhythmia recurrence; two patients died of complications associated with their advanced heart failure. There were no clinical or imaging evidence of radiation necrosis or other radiation-induced complications in the organs at risk surrounding the scar targeted by radioablation. Conclusion Despite good initial results, STAR did not result in effective ventricular arrhythmia control in the long term in a selected, high-risk population of patients with scar-related VT. The safety profile was confirmed to be favorable, with no radiation-related complications observed during follow-up. Further studies are needed to explain these disappointing results.",Copied,NA,0,0.497831545,keep,785,0.165487332,5,1,1,0,1,29878,medrxiv,22/11/2019,FALSE,Stereotactic arrhythmia radioablation for refractory scar-related ventricular tachycardia,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,cardiovascular medicine,"Gianni, C.; Rivera, D.; Burkhardt, J. D.; Pollard, B.; Gardner, E.; Maguire, P.; Zei, P.; Natale, A.; Al-Ahmad, A.",9,Carola Gianni,"Texas Cardiac Arrhythmia Institute, St. David\'s Medical Center, Austin, TX, USA",NA,NA,NA,NA,NA,10.1016/j.hrthm.2020.02.036,Stereotactic arrhythmia radioablation for refractory scar-related ventricular tachycardia,06/03/2020,Heart Rhythm,Elsevier BV,105,TRUE,green,FALSE
51,10.1101/19013318,"Background: Optimal ablation technique, including catheter-tissue contact during atrial fibrillation (AF) radiofrequency (RF) ablation is associated with improved procedural outcomes. We used a custom developed software to analyze high frequency catheter position data to study the interaction between catheter excursion during lesion placement, lesion-set sequentiality and arrhythmia recurrence. Methods: 100 consecutive patients undergoing first time RF ablation for paroxysmal AF were analyzed. Spatial positioning of the ablation catheter sampled at 60 Hz during RF application was extracted from the CARTO3 system (Biosense Webster Inc., USA) and analyzed using custom developed MATLAB software to determine precise catheter spatial 3D excursion during RF ablation. The primary end point was freedom from atrial arrhythmia lasting longer than 30 seconds after a single ablation procedure. Results: At one year, 86% of patients were free from recurrent arrhythmia. There was no significant difference in clinical, echocardiographic or ablation characteristics between patients with and without recurrent arrhythmia. Analyzing 15,356,998 position data-points revealed that lesion-set sequentiality and mean lesion catheter excursion were predictors of arrhythmia recurrence. Analyzing arrhythmia recurrence by mean single-lesion catheter excursion (excursion > 2.81mm) and by sequentiality (using 46% of lesions with inter-lesion distance >6mm as cutoff) revealed significantly increased arrhythmia recurrence in the higher excursion group (23% vs. 6%, p=0.03) and in the less sequential group (24% vs. 4%, p=0.02). Conclusion: Ablation lesion sequentiality measured by catheter inter-lesion distance and catheter stability measured by catheter excursion during lesion placement are potentially modifiable factors affecting arrhythmia recurrence after RF ablation for AF.",Copied,NA,0,0.101834618,exclude,102,0.027918107,0,0,0,0,0,29923,medrxiv,29/11/2019,FALSE,Quantitative Analysis of Ablation Technique Predicts Arrhythmia Recurrence Following Atrial Fibrillation Ablation,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,cardiovascular medicine,"Jankelson, L.; Dai, M.; Bernstein, S.; Park, D.; Holmes, D.; Aizer, A.; Chinitz, L.; Barbhaiya, C.",8,Lior Jankelson,NYU School of Medicine,1,PHRASE,New York University School of Medicine,United States,US,10.1016/j.ahj.2019.11.011,Quantitative analysis of ablation technique predicts arrhythmia recurrence following atrial fibrillation ablation,27/11/2019,American Heart Journal,Elsevier BV,-2,TRUE,green,FALSE
52,10.1101/19013656,"Objective: To investigate the relation between deep brain stimulation (DBS) of the posterior subthalamic area (PSA) and the ventral intermediate nucleus (VIM) and the distance to the dentatorubrothalamic tract (DRTT) in essential tremor (ET). Methods: Tremor rating scale (TRS) hemi scores were analyzed in 13 ET patients, stimulated in both the VIM and the PSA in a randomized, crossover trial. Distances of PSA and VIM contacts to population based DRTTs were calculated. The relationships between distance to DRTT and stimulation amplitude, as well as DBS efficiency (TRS improvement per amplitude) were investigated. Results: PSA contacts were closer to the DRTT (p=0.019) and led to a greater improvement in TRS hemi scores (p=0.005) than VIM contacts. Proximity to the DRTT was related to lower amplitudes (p<0.001) and higher DBS efficiency (p=0.017). Conclusions: Differences in tremor outcome and stimulation parameters between contacts in the PSA and the VIM can be explained by their different distance to the DRTT.",Copied,NA,0,0.024342746,keep,143,0.066212269,0,0,0,0,0,29956,medrxiv,09/12/2019,FALSE,PSA and VIM DBS efficiency in essential tremor depends on distance to the dentatorubrothalamic tract,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,neurology,"Dembek, T. A.; Petry-Schmelzer, J. N.; Reker, P.; Wirths, J.; Hamacher, S.; Steffen, J. K.; Dafsari, H. S.; Hoevels, M.; Fink, G. R.; Visser-Vandewalle, V.; Barbe, M. T.",11,Till A Dembek,"University of Cologne, Faculty of Medicine",1,PHRASE,University of Cologne,Germany,DE,10.1016/j.nicl.2020.102235,PSA and VIM DBS efficiency in essential tremor depends on distance to the dentatorubrothalamic tract,04/03/2020,NeuroImage: Clinical,Elsevier BV,86,TRUE,gold,TRUE
53,10.1101/2019.12.12.19014696,"Renal cell carcinoma comprises a variety of entities, the most common being the clear-cell, papillary and chromophobe subtypes. These subtypes are related to different clinical evolution; however, most therapies have been developed for clear-cell carcinoma and there is not a specific treatment based on different subtypes. In this study, one hundred and sixty-four paraffin samples from primary nephrectomies for localized tumors were analyzed. MiRNAs were isolated and measured by microRNA arrays. Significance Analysis of Microarrays and Consensus Cluster algorithm were used to characterize different renal subtypes. The analyses showed that chromophobe renal tumors are a homogeneous group characterized by an overexpression of miR 1229, miR 10a, miR 182, miR 1208, miR 222, miR 221, miR 891b, miR 629-5p and miR 221-5p. On the other hand, clear cell renal carcinomas presented two different groups inside this histological subtype, with differences in miRNAs that regulate focal adhesion, transcription, apoptosis and angiogenesis processes. Specifically, one of the defined groups had an overexpression of proangiogenic microRNAs miR185, miR126 and miR130a. In conclusion, differences in miRNA expression profiles between histological renal subtypes were established. In addition, clear cell renal carcinomas had different expression of proangiogenic miRNAs. With the emergence of antiangiogenic drugs, these differences could be used as therapeutic targets in the future or as a selection method for tailoring personalized treatments.",Copied,NA,2,0,keep,0,0,0,0,0,0,0,30016,medrxiv,15/12/2019,FALSE,miRNA profiling in renal carcinoma suggest the existence of a group of pro-angionenic tumors in localized clear cell renal carcinoma,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,oncology,"Trilla-Fuertes, L.; Miranda, N.; Castellano, D.; Lopez-Vacas, R.; Farfan Tello, C. A.; de Velasco, G.; Villacampa, F.; Lopez-Camacho, E.; Prado-VAzquez, G.; Zapater-Moros, A.; Espinosa, E.; Fresno Vara, J. A.; Pinto, A.; Gamez-Pozo, A.",14,Angelo Gamez-Pozo,Hospital Universitaio La Paz,NA,NA,NA,NA,NA,10.1371/journal.pone.0229075,miRNA profiling in renal carcinoma suggest the existence of a group of pro-angionenic tumors in localized clear cell renal carcinoma,28/02/2020,PLOS ONE,Public Library of Science (PLoS),75,TRUE,gold,TRUE
54,10.1101/2019.12.13.876110,"Timely completion of DNA replication is central to accurate cell division and to the maintenance of genomic stability. However, certain DNA-protein interactions can physically impede DNA replication fork progression. Cells remove or bypass these physical impediments by different mechanisms to preserve DNA macromolecule integrity and genome stability. In Saccharomyces cerevisiae, Wss1, the DNA-protein crosslink repair protease, allows cells to tolerate hydroxyurea-induced replication stress but the underlying mechanism by which Wss1 promotes this function has remained unknown. Here we report that Wss1 provides cells tolerance to replication stress by directly degrading core histone subunits that non-specifically and non-covalently bind to single-stranded DNA. Unlike Wss1-dependent proteolysis of covalent DNA-protein crosslinks, proteolysis of histones does not require Cdc48 nor SUMO-binding activities. Wss1 thus acts as a multi-functional protease capable of targeting a broad range of covalent and non-covalent DNA-binding proteins to preserve genome stability during adverse conditions.",Copied,NA,0,0.005869074,keep,103,0.043792325,0,0,0,0,0,27977,biorxiv,14/12/2019,FALSE,Wss1 promotes replication stress tolerance by degrading histones.,1,4509,33,8,0,cc_no,new results,cell biology,"Maddi, K.; Sam, D. K.; Bonn, F.; Prgomet, S.; Tulowetzke, E.; Akutsu, M.; Lopez-Mosqueda, J.; Dikic, I.",8,Ivan Dikic,"Institute of Biochemistry II, Goethe University School of Medicine, Theodor-Stern- Kai 7, 60590 Frankfurt am Main, Germany",NA,NA,NA,NA,NA,10.1016/j.celrep.2020.02.018,Wss1 Promotes Replication Stress Tolerance by Degrading Histones,03/03/2020,Cell Reports,Elsevier BV,80,TRUE,gold,TRUE
